Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec
1,LO80660012014087LGN00,LO80660012014087LGN00,1,N,LO80660012014087LGN00, 066, 001, 066, 001,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:48:52.7493252,2014:087:20:49:24.7496424,9,2.84,10.87818323,-145.49372811,6.524,6.473,Yes,80°47'45.85"N,97°10'58.76"W,81°57'25.92"N,94°30'21.02"W,80°21'46.33"N,90°08'33.94"W,79°36'56.84"N,99°19'16.25"W,81°04'58.26"N,104°47'52.04"W,80.79607,-97.18299,81.9572,-94.50584,80.36287,-90.14276,79.61579,-99.32118,81.08285,-104.79779
2,LO80500712014087LGN00,LO80500712014087LGN00,1,N,LO80500712014087LGN00, 050, 071, 050, 071,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:19:37:52.7067252,2014:087:19:38:24.7070424,9,9.12,54.42864928,60.326908,6.457,5.223,Yes,15°54'02.41"S,143°42'06.84"W,14°51'05.04"S,144°22'41.81"W,15°12'56.56"S,142°38'16.15"W,16°57'13.72"S,143°01'05.88"W,16°35'06.76"S,144°46'26.26"W,-15.90067,-143.7019,-14.8514,-144.37828,-15.21571,-142.63782,-16.95381,-143.0183,-16.58521,-144.77396
3,LO80820112014087LGN00,LO80820112014087LGN00,1,N,LO80820112014087LGN00, 082, 011, 082, 011,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:31:44.8110444,2014:087:22:32:16.8113616,9,.84,23.65676467,174.05208403,19.778,18.177,Yes,69°36'23.26"N,162°13'19.27"W,70°45'38.56"N,163°27'52.74"W,70°00'04.54"N,158°50'50.64"W,68°26'06.86"N,161°07'33.13"W,69°08'58.99"N,165°28'13.69"W,69.60646,-162.22202,70.76071,-163.46465,70.00126,-158.8474,68.43524,-161.12587,69.14972,-165.47047
4,LO80820122014087LGN00,LO80820122014087LGN00,1,N,LO80820122014087LGN00, 082, 012, 082, 012,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:32:08.8112808,2014:087:22:32:40.8116040,9,1.62,24.91244165,172.24579439,6.833,6.641,Yes,68°16'46.42"N,163°54'23.00"W,69°25'24.28"N,165°08'57.98"W,68°42'18.68"N,160°45'32.18"W,67°07'05.16"N,162°47'56.83"W,67°47'49.70"N,166°56'12.48"W,68.27956,-163.90639,69.42341,-165.14944,68.70519,-160.75894,67.1181,-162.79912,67.79714,-166.9368
5,LO80820132014087LGN00,LO80820132014087LGN00,1,N,LO80820132014087LGN00, 082, 013, 082, 013,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:32:32.8115232,2014:087:22:33:04.8118404,9,3.91,26.16374796,170.59178216,6.568,7.456,Yes,66°56'20.33"N,165°24'57.85"W,68°04'24.06"N,166°38'59.82"W,67°23'28.72"N,162°28'08.40"W,65°47'11.62"N,164°18'27.07"W,66°26'03.77"N,168°15'18.32"W,66.93898,-165.41607,68.07335,-166.64995,67.39131,-162.469,65.78656,-164.30752,66.43438,-168.25509
6,LO80660112014087LGN00,LO80660112014087LGN00,1,N,LO80660112014087LGN00, 066, 011, 066, 011,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:52:51.7517151,2014:087:20:53:23.7520323,9,1.05,23.62993386,174.04474241,9.436,9.954,Yes,69°36'22.46"N,137°30'13.97"W,70°45'37.73"N,138°44'49.38"W,70°00'03.60"N,134°07'44.76"W,68°26'06.11"N,136°24'26.06"W,69°08'58.34"N,140°45'09.07"W,69.60624,-137.50388,70.76048,-138.74705,70.001,-134.1291,68.43503,-136.40724,69.14954,-140.75252
7,LO80660122014087LGN00,LO80660122014087LGN00,1,N,LO80660122014087LGN00, 066, 012, 066, 012,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:53:15.7519515,2014:087:20:53:47.7522747,9,1.52,24.88507088,172.23964865,8.436,8.234,Yes,68°16'47.39"N,139°11'14.93"W,69°25'25.25"N,140°25'52.32"W,68°42'19.30"N,136°02'22.52"W,67°07'05.99"N,138°04'46.52"W,67°47'50.93"N,142°13'05.99"W,68.27983,-139.18748,69.42368,-140.4312,68.70536,-136.03959,67.11833,-138.07959,67.79748,-142.21833
8,LO80660132014087LGN00,LO80660132014087LGN00,1,N,LO80660132014087LGN00, 066, 013, 066, 013,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:53:39.7521939,2014:087:20:54:11.7525111,9,3.79,26.13630895,170.58614175,6.803,7.042,Yes,66°56'21.30"N,140°41'49.31"W,68°04'24.67"N,141°55'49.19"W,67°23'30.34"N,137°45'02.12"W,65°47'12.98"N,139°35'20.47"W,66°26'04.24"N,143°32'07.55"W,66.93925,-140.69703,68.07352,-141.93033,67.39176,-137.75059,65.78694,-139.58902,66.43451,-143.53543
9,LO80660142014087LGN00,LO80660142014087LGN00,1,N,LO80660142014087LGN00, 066, 014, 066, 014,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:54:03.7524303,2014:087:20:54:35.7527535,9,6.76,27.38280622,169.05659144,6.084,5.699,Yes,65°35'14.06"N,142°03'33.44"W,66°42'46.08"N,143°16'35.76"W,66°03'46.98"N,139°17'26.09"W,64°26'35.84"N,140°57'26.75"W,65°03'47.20"N,144°43'42.96"W,65.58724,-142.05929,66.7128,-143.2766,66.06305,-139.29058,64.44329,-140.95743,65.06311,-144.7286
10,LO80660152014087LGN00,LO80660152014087LGN00,1,N,LO80660152014087LGN00, 066, 015, 066, 015,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:54:27.7526727,2014:087:20:54:59.7529959,9,4.52,28.62449054,167.6274623,6.482,7.592,Yes,64°13'30.72"N,143°17'48.12"W,65°20'34.19"N,144°29'35.77"W,64°43'17.94"N,140°41'11.76"W,63°05'20.33"N,142°12'23.26"W,63°41'02.18"N,145°48'55.76"W,64.2252,-143.2967,65.34283,-144.49327,64.72165,-140.6866,63.08898,-142.20646,63.68394,-145.81549
11,LO80660162014087LGN00,LO80660162014087LGN00,1,N,LO80660162014087LGN00, 066, 016, 066, 016,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:54:51.7529151,2014:087:20:55:22.7532222,9,4.23,29.86070788,166.27967071,7.273,6.526,Yes,62°51'17.32"N,144°25'38.28"W,63°57'54.86"N,145°36'01.48"W,63°22'10.24"N,141°57'31.79"W,61°43'32.59"N,143°21'07.34"W,62°17'54.31"N,146°48'42.62"W,62.85481,-144.4273,63.96524,-145.60041,63.36951,-141.95883,61.72572,-143.35204,62.29842,-146.81184
12,LO80660172014087LGN00,LO80660172014087LGN00,1,N,LO80660172014087LGN00, 066, 017, 066, 017,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:55:15.7531515,2014:087:20:55:46.7534646,9,2.58,31.09085838,164.99742618,7.627,6.899,Yes,61°28'38.78"N,145°27'56.56"W,62°34'52.79"N,146°36'49.68"W,62°00'30.17"N,143°07'27.62"W,60°21'17.78"N,144°24'28.44"W,60°54'27.58"N,147°43'48.40"W,61.47744,-145.46571,62.58133,-146.6138,62.00838,-143.12434,60.35494,-144.4079,60.90766,-147.73011
13,LO80660182014087LGN00,LO80660182014087LGN00,1,N,LO80660182014087LGN00, 066, 018, 066, 018,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:55:38.7533838,2014:087:20:56:10.7537010,9,6.55,32.31506457,163.76626978,6.64,6.632,Yes,60°05'36.06"N,146°25'29.82"W,61°11'28.97"N,147°32'53.95"W,60°38'18.71"N,144°11'49.09"W,58°58'36.30"N,145°23'05.78"W,59°30'42.44"N,148°34'55.85"W,60.09335,-146.42495,61.19138,-147.54832,60.63853,-144.19697,58.97675,-145.38494,59.51179,-148.58218
14,LO80500722014087LGN00,LO80500722014087LGN00,1,N,LO80500722014087LGN00, 050, 072, 050, 072,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:19:38:16.7069616,2014:087:19:38:48.7072848,9,15.61,53.51583514,58.83818135,10.5,19.31,Yes,17°20'39.95"S,144°01'34.86"W,16°17'41.24"S,144°42'26.50"W,16°39'37.04"S,142°57'13.21"W,18°23'51.50"S,143°20'14.35"W,18°01'39.83"S,145°06'28.08"W,-17.34443,-144.02635,-16.29479,-144.70736,-16.66029,-142.95367,-18.39764,-143.33732,-18.02773,-145.1078
15,LO80660452014087LGN00,LO80660452014087LGN00,1,N,LO80660452014087LGN00, 066, 045, 066, 045,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:21:06:23.7598323,2014:087:21:06:55.7601555,9,20.97,59.71008687,123.79869336,6.087,5.696,Yes,21°40'18.66"N,160°14'46.10"W,22°43'09.44"N,160°56'48.05"W,22°21'04.07"N,159°08'22.24"W,20°36'47.27"N,159°33'30.24"W,20°58'58.51"N,161°20'37.03"W,21.67185,-160.24614,22.71929,-160.94668,22.35113,-159.13951,20.61313,-159.5584,20.98292,-161.34362
16,LO80820102014087LGN00,LO80820102014087LGN00,1,N,LO80820102014087LGN00, 082, 010, 082, 010,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:31:20.8108020,2014:087:22:31:52.8111252,9,9.19,22.39751935,176.04491189,26.922,20.432,Yes,70°54'59.15"N,160°19'46.24"W,72°04'54.44"N,161°33'21.92"W,71°16'32.23"N,156°41'52.73"W,69°44'05.64"N,159°15'34.67"W,70°29'21.70"N,163°49'34.28"W,70.91643,-160.32951,72.08179,-161.55609,71.27562,-156.69798,69.7349,-159.25963,70.48936,-163.82619
17,LO82270892014063LGN00,LO82270892014063LGN00,1,N,LO82270892014063LGN00, 227, 089, 227, 089,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:13:59:17.5035717,2014:063:13:59:49.5038949,9,.04,41.83747848,53.3971406,5.689,5.194,Yes,41°45'34.99"S,63°57'41.04"W,40°41'41.64"S,64°47'57.01"W,41°06'30.85"S,62°33'40.36"W,42°49'22.22"S,63°05'36.96"W,42°24'00.11"S,65°23'25.80"W,-41.75972,-63.9614,-40.6949,-64.79917,-41.10857,-62.56121,-42.82284,-63.0936,-42.40003,-65.3905
18,LO82270902014063LGN00,LO82270902014063LGN00,1,N,LO82270902014063LGN00, 227, 090, 227, 090,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:13:59:41.5038141,2014:063:14:00:13.5041313,9,.09,40.75888474,52.79748928,6.386,5.738,Yes,43°11'05.78"S,64°26'18.53"W,42°07'05.48"S,65°17'28.61"W,42°32'14.75"S,63°00'10.69"W,44°14'58.81"S,63°33'12.82"W,43°49'14.59"S,65°54'17.93"W,-43.18494,-64.43848,-42.11819,-65.29128,-42.53743,-63.00297,-44.24967,-63.55356,-43.82072,-65.90498
19,LO82270912014063LGN00,LO82270912014063LGN00,1,N,LO82270912014063LGN00, 227, 091, 227, 091,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:14:00:05.5040505,2014:063:14:00:37.5043737,9,.02,39.66632877,52.26250384,6.507,5.557,Yes,44°36'30.06"S,64°56'00.56"W,43°32'22.24"S,65°48'06.95"W,43°57'53.28"S,63°27'35.28"W,45°40'29.46"S,64°01'49.80"W,45°14'21.12"S,66°26'24.86"W,-44.60835,-64.93349,-43.53951,-65.80193,-43.9648,-63.4598,-45.67485,-64.0305,-45.2392,-66.44024
20,LO82270922014063LGN00,LO82270922014063LGN00,1,N,LO82270922014063LGN00, 227, 092, 227, 092,NADIR,FULL,NOMINAL,0,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:14:00:29.5042929,2014:063:14:01:01.5046101,9,0,38.56110747,51.7917072,7.564,7.82,Yes,46°01'46.16"S,65°26'52.76"W,44°57'30.20"S,66°19'58.37"W,45°23'24.90"S,63°56'00.06"W,47°05'52.58"S,64°31'34.43"W,46°39'18.18"S,66°59'53.66"W,-46.02949,-65.44799,-44.95839,-66.33288,-45.39025,-63.93335,-47.09794,-64.52623,-46.65505,-66.99824
21,LO82270932014063LGN00,LO82270932014063LGN00,1,N,LO82270932014063LGN00, 227, 093, 227, 093,NADIR,FULL,NOMINAL,0,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:14:00:53.5045353,2014:063:14:01:25.5048525,9,5.1,37.44338431,51.38488938,6.11,4.285,Yes,47°26'56.51"S,65°59'03.95"W,46°22'31.51"S,66°53'10.82"W,46°48'51.84"S,64°25'31.44"W,48°31'10.52"S,65°02'34.48"W,48°04'07.75"S,67°34'53.76"W,-47.44903,-65.98443,-46.37542,-66.88634,-46.8144,-64.4254,-48.51959,-65.04291,-48.06882,-67.5816
22,LO81150492014063LGN00,LO81150492014063LGN00,1,N,LO81150492014063LGN00, 115, 049, 115, 049,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:11:09.0786909,2014:063:02:11:40.0790040,9,20.45,54.89680561,127.42256677,5.802,6.212,Yes,15°54'02.45"N,122°43'56.42"E,16°56'51.25"N,122°03'15.70"E,16°35'05.03"N,123°47'51.72"E,14°50'37.25"N,123°24'03.56"E,15°12'31.32"N,121°40'22.55"E,15.90068,122.73234,16.94757,122.05436,16.58473,123.7977,14.84368,123.40099,15.2087,121.67293
23,LO81150502014063LGN00,LO81150502014063LGN00,1,N,LO81150502014063LGN00, 115, 050, 115, 050,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:11:32.0789232,2014:063:02:12:04.0792404,9,20.78,55.57811908,125.51768981,5.06,6.266,Yes,14°27'24.08"N,122°24'39.46"E,15°30'12.60"N,121°44'15.18"E,15°08'29.94"N,123°28'06.28"E,13°24'00.14"N,123°04'33.78"E,13°45'51.12"N,121°21'32.15"E,14.45669,122.41096,15.5035,121.73755,15.14165,123.46841,13.40004,123.07605,13.7642,121.35893
24,LO81150512014063LGN00,LO81150512014063LGN00,1,N,LO81150512014063LGN00, 115, 051, 115, 051,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:11:56.0791656,2014:063:02:12:28.0794828,9,4.3,56.21685726,123.54119815,4.989,5.443,Yes,13°00'45.29"N,122°05'33.40"E,14°03'33.55"N,121°25'23.30"E,13°41'54.10"N,123°08'33.86"E,11°57'22.61"N,122°45'15.80"E,12°19'10.81"N,121°02'49.45"E,13.01258,122.09261,14.05932,121.42314,13.69836,123.14274,11.95628,122.75439,12.31967,121.04707
25,LO81150522014063LGN00,LO81150522014063LGN00,1,N,LO81150522014063LGN00, 115, 052, 115, 052,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:12:20.0794020,2014:063:02:12:52.0797252,9,5.6,56.81075412,121.49224532,5.821,5.923,Yes,11°34'02.64"N,121°46'35.54"E,12°36'50.80"N,121°06'38.23"E,12°15'14.00"N,122°49'13.44"E,10°30'41.11"N,122°26'08.34"E,10°52'27.01"N,120°44'12.16"E,11.5674,121.77654,12.61411,121.11062,12.25389,122.8204,10.51142,122.43565,10.87417,120.73671
26,LO81150532014063LGN00,LO81150532014063LGN00,1,N,LO81150532014063LGN00, 115, 053, 115, 053,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:12:44.0796444,2014:063:02:13:16.0799616,9,3.85,57.35702521,119.37428433,6.488,5.908,Yes,10°07'19.99"N,121°27'46.08"E,11°10'08.11"N,120°47'59.93"E,10°48'33.62"N,122°30'03.89"E,9°03'59.47"N,122°07'10.06"E,9°25'43.43"N,120°25'40.04"E,10.12222,121.4628,11.16892,120.79998,10.80934,122.50108,9.06652,122.11946,9.42873,120.42779
27,LO81150552014063LGN00,LO81150552014063LGN00,1,N,LO81150552014063LGN00, 115, 055, 115, 055,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:13:32.0801232,2014:063:02:14:04.0804404,9,4.72,58.29704117,114.94261518,8.516,9.836,Yes,7°13'53.11"N,120°50'26.63"E,8°16'41.48"N,120°10'58.44"E,7°55'10.42"N,121°52'13.01"E,6°10'34.46"N,121°29'38.40"E,6°32'15.65"N,119°48'47.81"E,7.23142,120.84073,8.27819,120.1829,7.91956,121.87028,6.17624,121.494,6.53768,119.81328
28,LO81150562014063LGN00,LO81150562014063LGN00,1,N,LO81150562014063LGN00, 115, 056, 115, 056,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:13:56.0803656,2014:063:02:14:28.0806828,9,5.12,58.68641017,112.63696874,7.141,6.558,Yes,5°47'06.65"N,120°31'54.26"E,6°49'55.16"N,119°52'32.70"E,6°28'25.25"N,121°33'28.94"E,4°43'48.86"N,121°11'02.04"E,5°05'29.18"N,119°30'24.91"E,5.78518,120.53174,6.83199,119.87575,6.47368,121.55804,4.73024,121.1839,5.09144,119.50692
29,LO81150572014063LGN00,LO81150572014063LGN00,1,N,LO81150572014063LGN00, 115, 057, 115, 057,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:14:20.0806020,2014:063:02:14:52.0809252,9,18.31,59.01903475,110.28046487,6.665,7.014,Yes,4°20'20.69"N,120°13'25.97"E,5°23'09.49"N,119°34'09.55"E,5°01'40.44"N,121°14'51.54"E,3°17'03.66"N,120°52'31.08"E,3°38'43.48"N,119°12'03.42"E,4.33908,120.22388,5.38597,119.56932,5.0279,121.24765,3.28435,120.8753,3.64541,119.20095
30,LO81150592014063LGN00,LO81150592014063LGN00,1,N,LO81150592014063LGN00, 115, 059, 115, 059,NADIR,FULL,NOMINAL,0,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:15:08.0810808,2014:063:02:15:39.0813939,9,14.31,59.50707044,105.44380724,7.623,8.54,Yes,1°26'46.64"N,119°36'36.76"E,2°29'36.06"N,118°57'26.21"E,2°08'07.62"N,120°37'51.85"E,0°23'31.06"N,120°15'40.93"E,0°45'10.84"N,118°35'20.11"E,1.44629,119.61021,2.49335,118.95728,2.13545,120.63107,.39196,120.26137,.75301,118.58892
31,LO81150652014063LGN00,LO81150652014063LGN00,1,N,LO81150652014063LGN00, 115, 065, 115, 065,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:02:17:31.0825131,2014:063:02:18:03.0828303,9,16.75,59.48124798,90.65336832,10.263,11.33,Yes,7°13'52.97"S,117°46'01.34"E,6°11'00.74"S,117°06'37.01"E,6°32'33.79"S,118°47'44.38"E,8°17'05.24"S,118°25'34.86"E,7°55'19.02"S,116°44'03.80"E,-7.23138,117.76704,-6.18354,117.11028,-6.54272,118.79566,-8.28479,118.42635,-7.92195,116.73439
32,LO81630592014063LGN00,LO81630592014063LGN00,1,N,LO81630592014063LGN00, 163, 059, 163, 059,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:07:11:47.2590747,2014:063:07:12:19.2593919,9,7.96,59.53826307,105.29838041,7.287,5.925,Yes,1°26'47.29"N,45°26'52.62"E,2°29'36.31"N,44°47'42.00"E,2°08'07.80"N,46°28'07.90"E,0°23'32.06"N,46°05'57.08"E,0°45'11.95"N,44°25'35.98"E,1.44647,45.44795,2.49342,44.795,2.1355,46.46886,.39224,46.09919,.75332,44.42666
33,LO82270792014063LGN00,LO82270792014063LGN00,1,N,LO82270792014063LGN00, 227, 079, 227, 079,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:13:55:18.5011818,2014:063:13:55:49.5014949,9,8.41,51.58668901,63.21927064,6.677,6.428,Yes,27°25'53.62"S,59°53'22.81"W,26°22'42.17"S,60°36'56.05"W,26°45'21.60"S,58°43'47.89"W,28°29'10.43"S,59°08'56.11"W,28°06'10.80"S,61°03'51.12"W,-27.43156,-59.88967,-26.37838,-60.61557,-26.756,-58.72997,-28.48623,-59.14892,-28.103,-61.0642
34,LO81470112014063LGN00,LO81470112014063LGN00,1,N,LO81470112014063LGN00, 147, 011, 147, 011,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:13:47.1882747,2014:063:05:14:19.1885919,9,9.43,13.89457925,172.75585805,11.335,13.532,Yes,69°36'23.72"N,97°21'11.92"E,70°45'38.81"N,96°06'38.12"E,70°00'05.33"N,100°43'39.65"E,68°26'07.55"N,98°26'58.13"E,69°08'59.14"N,94°06'18.14"E,69.60659,97.35331,70.76078,96.11059,70.00148,100.72768,68.43543,98.44948,69.14976,94.10504
35,LO81470122014063LGN00,LO81470122014063LGN00,1,N,LO81470122014063LGN00, 147, 012, 147, 012,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:14:11.1885111,2014:063:05:14:43.1888343,9,6.91,15.13416255,171.08304799,9.919,11.264,Yes,68°16'47.64"N,95°40'09.80"E,69°25'25.54"N,94°25'32.99"E,68°42'19.87"N,98°49'01.78"E,67°07'06.31"N,96°46'37.88"E,67°47'50.96"N,92°38'19.46"E,68.2799,95.66939,69.42376,94.42583,68.70552,98.81716,67.11842,96.77719,67.79749,92.63874
36,LO81470132014063LGN00,LO81470132014063LGN00,1,N,LO81470132014063LGN00, 147, 013, 147, 013,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:14:35.1887535,2014:063:05:15:07.1890707,9,12.27,16.3714628,169.56614254,7.746,8.518,Yes,66°56'20.58"N,94°09'34.67"E,68°04'24.17"N,92°55'32.48"E,67°23'29.26"N,97°06'23.76"E,65°47'11.94"N,95°16'05.74"E,66°26'03.73"N,91°19'14.74"E,66.93905,94.15963,68.07338,92.92569,67.39146,97.1066,65.78665,95.26826,66.43437,91.32076
37,LO81470142014063LGN00,LO81470142014063LGN00,1,N,LO81470142014063LGN00, 147, 014, 147, 014,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:14:59.1889959,2014:063:05:15:31.1893131,9,4.15,17.60554913,168.17807011,7.758,10.68,Yes,65°35'13.06"N,92°47'50.78"E,66°42'45.00"N,91°34'50.74"E,66°03'46.76"N,95°33'55.84"E,64°26'35.12"N,93°53'55.32"E,65°03'45.61"N,90°07'43.57"E,65.58696,92.79744,66.7125,91.58076,66.06299,95.56551,64.44309,93.8987,65.06267,90.12877
38,LO81470152014063LGN00,LO81470152014063LGN00,1,N,LO81470152014063LGN00, 147, 015, 147, 015,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:15:23.1892323,2014:063:05:15:54.1895454,9,.77,18.83635774,166.89578394,7.035,8.168,Yes,64°13'30.47"N,91°33'37.01"E,65°20'33.68"N,90°21'52.02"E,64°43'18.37"N,94°10'10.81"E,63°05'20.40"N,92°38'59.39"E,63°41'01.28"N,89°02'31.96"E,64.22513,91.56028,65.34269,90.36445,64.72177,94.16967,63.089,92.64983,63.68369,89.04221
39,LO81470162014063LGN00,LO81470162014063LGN00,1,N,LO81470162014063LGN00, 147, 016, 147, 016,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:15:47.1894747,2014:063:05:16:18.1897818,9,.34,20.06385317,165.70031021,6.022,6.355,Yes,62°51'16.88"N,90°25'47.10"E,63°57'54.72"N,89°15'21.78"E,63°22'09.59"N,92°53'55.18"E,61°43'31.98"N,91°30'19.87"E,62°17'54.20"N,88°02'41.03"E,62.85469,90.42975,63.9652,89.25605,63.36933,92.89866,61.72555,91.50552,62.29839,88.04473
40,LO81470172014063LGN00,LO81470172014063LGN00,1,N,LO81470172014063LGN00, 147, 017, 147, 017,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:16:10.1897010,2014:063:05:16:42.1900242,9,2.03,21.28723219,164.5765509,6.028,6.667,Yes,61°28'38.32"N,89°23'28.86"E,62°34'52.97"N,88°14'29.72"E,62°00'28.58"N,91°44'03.12"E,60°21'16.60"N,90°27'02.56"E,60°54'28.08"N,87°07'31.80"E,61.47731,89.39135,62.58138,88.24159,62.00794,91.7342,60.35461,90.45071,60.9078,87.1255
41,LO81310162014063LGN00,LO81310162014063LGN00,1,N,LO81310162014063LGN00, 131, 016, 131, 016,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:03:36:53.1301353,2014:063:03:37:25.1304525,9,7.9,20.03702544,165.70180601,5.721,7.056,Yes,62°51'18.29"N,115°09'10.80"E,63°57'56.59"N,113°58'42.10"E,63°22'09.91"N,117°37'22.48"E,61°43'32.88"N,116°13'46.42"E,62°17'56.54"N,112°46'00.91"E,62.85508,115.153,63.96572,113.97836,63.36942,117.62291,61.7258,116.22956,62.29904,112.76692
42,LO81310172014063LGN00,LO81310172014063LGN00,1,N,LO81310172014063LGN00, 131, 017, 131, 017,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:03:37:17.1303717,2014:063:03:37:49.1306949,9,8.83,21.26059635,164.57804241,6.007,7.352,Yes,61°28'38.96"N,114°06'51.12"E,62°34'53.90"N,112°57'50.83"E,62°00'28.62"N,116°27'27.43"E,60°21'16.99"N,115°10'26.11"E,60°54'29.30"N,111°50'52.33"E,61.47749,114.1142,62.58164,112.96412,62.00795,116.45762,60.35472,115.17392,60.90814,111.84787
43,LO81470182014063LGN00,LO81470182014063LGN00,1,N,LO81470182014063LGN00, 147, 018, 147, 018,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/04,2014:063:05:16:34.1899434,2014:063:05:17:06.1902606,9,6.41,22.50664768,163.51099046,6.121,6.651,Yes,60°05'36.28"N,88°25'56.17"E,61°11'29.76"N,87°18'27.29"E,60°38'18.06"N,90°39'41.58"E,58°58'35.98"N,89°28'24.89"E,59°30'43.56"N,86°16'25.86"E,60.09341,88.43227,61.1916,87.30758,60.63835,90.66155,58.97666,89.47358,59.5121,86.27385
